Assigned SE,Company / Account,Activity Type,Date,Need SE Assigned?
SE4,Company212,New Business Meeting,2/2/2023,
SE4,Company67,Deal Progression Call,1/31/2023,
SE4,Company212,Discovery,2/8/2023,
SE4,Company7,Other,2/7/2023,
SE4,Company212,Discovery,2/15/2023,
SE4,Company120,New Business Meeting,2/15/2023,
SE4,Company212,Deal Progression Call,2/20/2023,
SE4,Company194,Other,2/2/2023,
SE4,Company67,Deal Progression Call,2/21/2023,
SE4,Company67,Deal Progression Call,2/20/2023,
SE4,Company143,New Business Meeting,3/8/2023,Yes
SE4,Company212,Deal Progression Call,3/15/2023,
SE4,Company212,New Business Meeting,3/15/2023,
SE4,Company143,Discovery,3/9/2023,
SE4,Company207,Other,3/16/2023,
SE4,Company120,Deal Progression Call,3/17/2023,No
SE4,Company120,Deal Progression Call,3/17/2023,No
SE4,Company120,Deal Progression Call,3/20/2023,
SE4,Company81,New Business Meeting,3/28/2023,
SE4,Company127,Other,3/23/2023,
SE4,Company136,New Business Meeting,3/30/2023,No
SE4,Company116,Discovery,3/29/2023,
SE4,Company165,Other,3/28/2023,
SE4,Company127,Other,3/29/2023,
SE4,Company116,Discovery,3/16/2023,
SE4,Company116,New Business Meeting,4/5/2023,Yes
SE4,Company81,New Business Meeting,3/28/2023,
SE4,Company81,New Business Meeting,4/3/2023,
SE4,Company81,New Business Meeting,4/3/2023,
SE4,Company143,Discovery,4/3/2023,Yes
SE4,Company127,Other,3/31/2023,
SE4,Company143,New Business Meeting,4/12/2023,
SE4,Company207,Other,4/3/2023,
SE4,Company268,Other,4/3/2023,
SE4,Company207,Other,4/5/2023,
SE4,Company67,Deal Progression Call,4/11/2023,
SE4,Company169,Discovery,4/13/2023,Yes
SE4,Company169,Discovery,4/13/2023,Yes
SE4,Company207,New Business Meeting,4/18/2023,Yes
SE4,Company207,New Business Meeting,4/18/2023,Yes
SE4,Company207,Other,4/13/2023,
SE4,Company169,New Business Meeting,4/25/2023,Yes
SE4,Company169,New Business Meeting,4/25/2023,Yes
SE4,Company207,Other,4/14/2023,
SE4,Company207,Discovery,4/24/2023,
SE4,Company143,Discovery,4/27/2023,Yes
SE4,Company7,Other,4/26/2023,
SE4,Company1,Other,4/26/2023,
SE4,Company212,Deal Progression Call,5/3/2023,
SE4,Company207,Other,5/4/2023,
SE4,Company7,New Business Meeting,5/4/2023,No
SE4,Company120,Deal Progression Call,5/4/2023,
SE4,Company7,New Business Meeting,5/16/2023,Yes
SE4,Company7,New Business Meeting,5/17/2023,Yes
SE4,Company48,New Business Meeting,5/22/2023,Yes
SE4,Company48,New Business Meeting,5/22/2023,Yes
SE4,Company207,Other,5/17/2023,
SE4,Company207,Other,5/17/2023,
SE4,Company136,New Business Meeting,5/15/2023,No
SE4,Company136,New Business Meeting,5/15/2023,No
SE4,Company136,New Business Meeting,5/15/2023,No
SE4,Company136,New Business Meeting,5/15/2023,No
SE4,Company136,New Business Meeting,5/15/2023,No
SE4,Company48,New Business Meeting,5/24/2023,No
SE4,Company48,New Business Meeting,5/24/2023,No
SE4,Company143,Deal Progression Call,5/24/2023,
SE4,Company99,New Business Meeting,5/31/2023,Yes
SE4,Company99,New Business Meeting,5/31/2023,Yes
SE4,Company116,Deal Progression Call,5/19/2023,
SE4,Company7,Discovery,5/23/2023,
SE4,Company7,Discovery,5/23/2023,
SE4,Company7,Discovery,5/25/2023,
SE4,Company7,Discovery,5/23/2023,
SE4,Company7,Discovery,5/23/2023,
SE4,Company48,Deal Progression Call,5/26/2023,No
SE4,Company48,Deal Progression Call,5/26/2023,No
SE4,Company212,Deal Progression Call,5/30/2023,
SE4,Company99,New Business Meeting,5/31/2023,Yes
SE4,Company143,Discovery,5/31/2023,
SE4,Company7,Deal Progression Call,5/30/2023,
SE4,Company120,New Business Meeting,6/1/2023,
SE4,Company120,New Business Meeting,6/1/2023,
SE4,Company136,New Business Meeting,5/31/2023,No
SE4,Company136,Discovery,5/31/2023,No
SE4,Company116,Deal Progression Call,6/6/2023,
SE4,Company7,New Business Meeting,6/7/2023,No
SE4,Company7,New Business Meeting,6/7/2023,No
SE4,Company136,New Business Meeting,6/13/2023,No
SE4,Company136,New Business Meeting,6/13/2023,No
SE4,Company82,Discovery,6/9/2023,
SE4,Company212,Deal Progression Call,6/6/2023,
SE4,Company47,New Business Meeting,6/27/2023,Yes
SE4,Company207,Other,6/14/2023,
SE4,Company47,New Business Meeting,6/16/2023,Yes
SE4,Company7,Discovery,1/11/2023,
SE4,Company7,New Business Meeting,1/18/2023,
SE4,Company7,Other,3/24/2023,
SE4,Company7,Deal Progression Call,1/18/2023,
SE4,Company7,Other,3/17/2023,
SE4,Company1,Discovery,6/14/2023,No
SE4,Company47,New Business Meeting,6/16/2023,Yes
SE4,Company136,New Business Meeting,6/29/2023,No
SE4,Company136,Deal Progression Call,6/27/2023,No
SE4,Company136,New Business Meeting,6/27/2023,No
SE4,Company181,New Business Meeting,6/30/2023,Yes
SE4,Company1,Discovery,6/22/2023,No
SE4,Company241,Deal Progression Call,6/20/2023,No
SE4,Company136,Discovery,6/27/2023,No
SE4,Company136,Discovery,6/29/2023,No
SE4,Company136,Deal Progression Call,6/29/2023,No
SE4,Company136,Deal Progression Call,6/22/2023,No
SE4,Company136,Deal Progression Call,6/22/2023,No
SE4,Company136,Deal Progression Call,6/22/2023,No
SE6,Company209,New Business Meeting,2/22/2023,Yes
SE6,Company40,Discovery,3/9/2023,
SE6,Company40,Discovery,3/9/2023,
SE6,Company40,Discovery,3/9/2023,
SE6,Company197,New Business Meeting,3/16/2023,No
SE6,Company197,New Business Meeting,3/16/2023,No
SE6,Company89,Deal Progression Call,5/30/2023,Yes
SE6,Company197,New Business Meeting,3/23/2023,No
SE6,Company82,New Business Meeting,4/25/2023,Yes
SE6,Company22,New Business Meeting,4/25/2023,Yes
SE6,Company22,New Business Meeting,4/25/2023,Yes
SE6,Company22,New Business Meeting,4/25/2023,Yes
SE6,Company242,Discovery,4/12/2023,Yes
SE6,Company166,Discovery,4/21/2023,
SE6,Company86,Discovery,4/24/2023,Yes
SE6,Company105,Discovery,4/26/2023,Yes
SE6,Company166,Discovery,4/21/2023,
SE6,Company166,Discovery,4/21/2023,
SE6,Company57,Discovery,5/3/2023,Yes
SE6,Company258,New Business Meeting,5/4/2023,Yes
SE6,Company57,Discovery,5/9/2023,
SE6,Company57,Discovery,5/9/2023,
SE6,Company173,Discovery,5/15/2023,Yes
SE6,Company97,New Business Meeting,5/16/2023,Yes
SE6,Company89,Deal Progression Call,5/30/2023,Yes
SE6,Company1,New Business Meeting,5/25/2023,Yes
SE6,Company174,New Business Meeting,6/7/2023,Yes
SE6,Company218,New Business Meeting,6/20/2023,Yes
SE6,Company231,Deal Progression Call,6/21/2023,Yes
SE6,Company57,Deal Progression Call,6/14/2023,
SE6,Company57,Deal Progression Call,6/6/2023,
SE6,Company57,Deal Progression Call,6/2/2023,
SE6,Company57,Deal Progression Call,5/31/2023,
SE6,Company57,Deal Progression Call,6/8/2023,
SE6,Company222,New Business Meeting,6/27/2023,Yes
SE6,Company265,Discovery,6/20/2023,Yes
SE6,Company265,Discovery,6/20/2023,Yes
SE6,Company1,New Business Meeting,6/22/2023,
SE1,Company99,Discovery,3/27/2023,
SE1,Company99,Discovery,3/27/2023,
SE1,Company66,Deal Progression Call,1/18/2023,
SE1,Company167,Deal Progression Call,1/17/2023,Yes
SE1,Company260,New Business Meeting,2/1/2023,No
SE1,Company260,New Business Meeting,2/1/2023,No
SE1,Company221,New Business Meeting,1/19/2023,Yes
SE1,Company58,New Business Meeting,1/11/2023,
SE1,Company58,New Business Meeting,1/11/2023,
SE1,Company170,New Business Meeting,1/17/2023,Yes
SE1,Company99,Deal Progression Call,1/13/2023,
SE1,Company99,Deal Progression Call,1/13/2023,
SE1,Company99,Deal Progression Call,1/13/2023,
SE1,Company265,New Business Meeting,1/17/2023,
SE1,Company261,New Business Meeting,2/2/2023,No
SE1,Company261,New Business Meeting,2/2/2023,No
SE1,Company66,Deal Progression Call,1/18/2023,
SE1,Company259,Discovery,2/7/2023,Yes
SE1,Company221,New Business Meeting,2/1/2023,
SE1,Company4,Onboarding,1/30/2023,
SE1,Company92,Deal Progression Call,1/30/2023,
SE1,Company4,Deal Progression Call,1/30/2023,No
SE1,Company4,Deal Progression Call,1/30/2023,No
SE1,Company4,New Business Meeting,1/30/2023,
SE1,Company4,New Business Meeting,1/30/2023,
SE1,Company1,New Business Meeting,1/31/2023,
SE1,Company221,New Business Meeting,2/1/2023,
SE1,Company1,New Business Meeting,1/31/2023,
SE1,Company1,New Business Meeting,1/31/2023,
SE1,Company99,Deal Progression Call,2/3/2023,
SE1,Company161,Discovery,1/30/2023,No
SE1,Company123,New Business Meeting,2/2/2023,No
SE1,Company123,New Business Meeting,2/2/2023,No
SE1,Company265,Discovery,2/14/2023,
SE1,Company265,Discovery,2/14/2023,
SE1,Company70,Discovery,2/8/2023,
SE1,Company70,Discovery,2/8/2023,
SE1,Company58,New Business Meeting,2/6/2023,
SE1,Company58,New Business Meeting,2/6/2023,
SE1,Company259,Discovery,2/7/2023,Yes
SE1,Company99,New Business Meeting,2/7/2023,No
SE1,Company99,New Business Meeting,2/7/2023,No
SE1,Company99,New Business Meeting,2/7/2023,No
SE1,Company99,Deal Progression Call,2/3/2023,
SE1,Company4,Discovery,2/8/2023,
SE1,Company70,Discovery,2/8/2023,
SE1,Company187,New Business Meeting,2/7/2023,Yes
SE1,Company187,New Business Meeting,2/7/2023,Yes
SE1,Company234,New Business Meeting,2/9/2023,Yes
SE1,Company234,New Business Meeting,2/9/2023,Yes
SE1,Company152,New Business Meeting,2/7/2023,
SE1,Company152,New Business Meeting,2/7/2023,
SE1,Company152,New Business Meeting,2/7/2023,
SE1,Company66,Deal Progression Call,2/8/2023,
SE1,Company58,New Business Meeting,2/6/2023,
SE1,Company117,Discovery,2/15/2023,Yes
SE1,Company117,Discovery,2/15/2023,Yes
SE1,Company261,New Business Meeting,2/22/2023,No
SE1,Company261,New Business Meeting,2/22/2023,No
SE1,Company261,New Business Meeting,2/23/2023,No
SE1,Company162,Discovery,2/16/2023,Yes
SE1,Company4,Discovery,2/8/2023,
SE1,Company263,Deal Progression Call,2/15/2023,
SE1,Company263,Deal Progression Call,2/15/2023,
SE1,Company117,Discovery,2/15/2023,Yes
SE1,Company170,New Business Meeting,2/23/2023,
SE1,Company170,New Business Meeting,2/23/2023,
SE1,Company170,New Business Meeting,2/23/2023,
SE1,Company170,New Business Meeting,2/23/2023,
SE1,Company4,New Business Meeting,2/16/2023,
SE1,Company4,New Business Meeting,2/16/2023,
SE1,Company70,New Business Meeting,3/14/2023,
SE1,Company52,Deal Progression Call,2/14/2023,
SE1,Company52,Deal Progression Call,2/14/2023,
SE1,Company52,Deal Progression Call,2/14/2023,
SE1,Company265,Deal Progression Call,2/15/2023,
SE1,Company265,Deal Progression Call,2/15/2023,
SE1,Company265,Deal Progression Call,2/15/2023,
SE1,Company99,New Business Meeting,2/17/2023,
SE1,Company99,New Business Meeting,2/17/2023,
SE1,Company265,Deal Progression Call,2/17/2023,
SE1,Company265,Deal Progression Call,2/17/2023,
SE1,Company265,Deal Progression Call,2/17/2023,
SE1,Company259,Other,2/20/2023,
SE1,Company221,Discovery,2/22/2023,
SE1,Company261,New Business Meeting,2/23/2023,No
SE1,Company99,New Business Meeting,2/23/2023,
SE1,Company170,Deal Progression Call,2/27/2023,
SE1,Company221,Deal Progression Call,2/27/2023,
SE1,Company40,Discovery,3/7/2023,Yes
SE1,Company40,Discovery,3/7/2023,Yes
SE1,Company221,Deal Progression Call,3/27/2023,
